customer_name,location,service_type,rating,testimonial,date
Sarah Mitchell,Toronto ON,Seasonal Contract,5,"Snow Management Canada has been a lifesaver! They cleared my driveway before I even woke up every single time it snowed. Worth every penny.",2024-03-15
James Chen,Vancouver BC,Per-Storm Service,5,"Reliable and professional. They understand the unique challenges of my steep driveway and always do a thorough job.",2024-02-28
Michelle Dubois,Montreal QC,Commercial Contract,5,"We manage three properties and Snow Management Canada keeps all our parking lots safe for tenants. Excellent communication during storms.",2024-01-20
Robert MacLeod,Calgary AB,Seasonal Contract,4,"Great service overall. They're always prompt and do quality work. Only issue was one delayed response during an extreme storm, but they made it right.",2024-03-10
Patricia Wong,Ottawa ON,Seasonal Contract,5,"I'm elderly and was worried about falling on ice. This service gives me peace of mind. They even clear my walkway to the mailbox!",2024-02-05
David Thompson,Edmonton AB,Per-Storm Service,5,"Used them for the first time this winter. Professional equipment, friendly operators, and they called ahead to confirm timing. Will book seasonal next year.",2024-01-30
Lisa Kowalski,Winnipeg MB,Commercial Contract,5,"As a property manager, reliability is everything. Snow Management Canada shows up when they say they will, every time. That's rare.",2024-03-01
Mark Stevens,Halifax NS,Seasonal Contract,5,"They treat my property like it's their own. Careful around my landscaping and always leave the snow in the right spots. Can't recommend enough.",2024-02-18
Amanda Johnson,Saskatoon SK,Seasonal Contract,5,"Best decision I made was getting a seasonal contract. No more worrying about snow removal or trying to shovel before work. They handle everything.",2024-01-25
Pierre Leblanc,Quebec City QC,Per-Storm Service,4,"Good service and fair pricing. They're busy during big storms but always get to us within their promised timeframe.",2024-03-05
